TrialType,Condition,Modality,StairCond,Decision,DecisionRT,Confidence,ConfidenceRT,Alpha,listenBPM,responseBPM,ResponseCorrect,DecisionProvided,RatingProvided,nTrials,EstimatedThreshold,EstimatedSlope,StartListening,StartDecision,ResponseMade,RatingStart,RatingEnds,endTrigger,HeartRateOutlier,Subject
psi,Less,Intero,psi,left,2.0951619,9,1.272,-0.5,63.5,63,TRUE,TRUE,TRUE,0,22.8055505,12.549457,1703079367,1703079378,1703079380,1703079381,1703079382,1703079382,FALSE,5
psi,Less,Extero,psi,left,2.1709159,10,1.509,-0.5,60.5,60,TRUE,TRUE,TRUE,1,22.8055505,12.549457,1703079383,1703079389,1703079392,1703079392,1703079394,1703079394,FALSE,5
psi,More,Extero,psi,right,1.906227,6,1.868,22.5,78.5,101,TRUE,TRUE,TRUE,2,34.41254178,12.24536396,1703079395,1703079401,1703079403,1703079404,1703079406,1703079406,FALSE,5
psi,More,Intero,psi,right,1.452639801,6,2.305,22.5,68,90.5,TRUE,TRUE,TRUE,3,34.41254178,12.24536396,1703079407,1703079417,1703079419,1703079419,1703079421,1703079422,FALSE,5
psi,More,Extero,psi,right,1.7945034,10,1.525,34.5,55.5,90,TRUE,TRUE,TRUE,4,40.4854902,11.73777743,1703079423,1703079430,1703079431,1703079432,1703079434,1703079434,FALSE,5
psi,More,Extero,psi,right,3.3348164,9,1.054,40.5,41,81.5,TRUE,TRUE,TRUE,5,43.82638723,10.99812164,1703079435,1703079441,1703079445,1703079446,1703079447,1703079447,FALSE,5
psi,More,Intero,psi,right,3.6862029,7,7.986,34.5,65.5,100,TRUE,TRUE,TRUE,6,40.4854902,11.73777743,1703079448,1703079458,1703079462,1703079463,1703079471,1703079473,FALSE,5
psi,More,Extero,psi,right,4.136479201,4,1.943,43.5,46.5,90,TRUE,TRUE,TRUE,7,45.79901424,10.05620542,1703079474,1703079480,1703079485,1703079486,1703079488,1703079488,FALSE,5
psi,More,Intero,psi,right,2.051418601,7,2.338,40.5,63.5,104,TRUE,TRUE,TRUE,8,43.82638723,10.99812164,1703079489,1703079500,1703079502,1703079502,1703079505,1703079505,FALSE,5
psi,More,Intero,psi,right,1.504299,9,1.965,43.5,63,106.5,TRUE,TRUE,TRUE,9,45.79901424,10.05620542,1703079506,1703079517,1703079518,1703079519,1703079521,1703079521,TRUE,5
psi,More,Intero,psi,right,1.922084698,7,0.867,45.5,64.5,110,TRUE,TRUE,TRUE,10,47.09898841,9.076860633,1703079522,1703079533,1703079535,1703079535,1703079536,1703079536,FALSE,5
